chembl_id,smiles,scaffold,activity
CHEMBL238559,CSc1nc(Nc2cccc(F)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.4
CHEMBL238561,CSc1nc(Nc2cccc(Br)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,7.22
CHEMBL238774,Clc1cccc(Nc2ncnc3c2cnn3CC(Cl)c2ccccc2)c1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.62
CHEMBL2397797,Fc1ccc(C(Cl)Cn2ncc3c(Nc4cccc(Cl)c4)ncnc32)cc1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.74
CHEMBL2397798,Fc1ccc(C(Cl)Cn2ncc3c(Nc4cccc(Br)c4)ncnc32)cc1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.18
CHEMBL2397799,ClC(Cn1ncc2c(Nc3cccc(Br)c3)ncnc21)c1ccccc1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.59
CHEMBL2397801,ClC(Cn1ncc2c(Nc3ccccc3)ncnc21)c1ccccc1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.05
CHEMBL2397802,ClC(Cn1ncc2c(Nc3ccccc3)ncnc21)c1ccc(Br)cc1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.21
CHEMBL2397817,Cc1ccc(C(Cl)Cn2ncc3c(Nc4ccccc4)ncnc32)cc1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,7.22
CHEMBL2397818,ClC(Cn1ncc2c(Nc3ccccc3)ncnc21)c1ccc(I)cc1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,7.3
CHEMBL3393071,CC(C)Sc1nc(Nc2cccc(O)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.92
CHEMBL3394083,CSc1nc(Nc2cccc(O)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.82
CHEMBL399627,CSc1nc(Nc2cccc(Br)c2)c2cnn(CC(Cl)c3ccc(F)cc3)c2n1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.82
CHEMBL400211,CSc1nc(Nc2cccc(Cl)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.22
CHEMBL401238,CSc1nc(Nc2ccccc2)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.4
CHEMBL401447,CCCSc1nc(Nc2cccc(Cl)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.82
CHEMBL428029,CCSc1nc(Nc2cccc(Cl)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,7.4
CHEMBL516070,CSc1nc(Nc2cccc(F)c2)c2cnn(CC(Cl)c3ccc(F)cc3)c2n1,c1ccc(CCn2ncc3c(Nc4ccccc4)ncnc32)cc1,6.66
CHEMBL1629808,CSc1nc(NCc2cccc(Br)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,7.19
CHEMBL1836675,CSc1nc(NCc2ccccc2F)c2cnn(CC(C)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,6.0
CHEMBL1836677,CSc1nc(NCc2ccccc2Cl)c2cnn(CC(C)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,6.11
CHEMBL236375,CSc1nc(NCc2ccccc2Cl)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,7.05
CHEMBL2397796,Fc1cccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Br)cc2)c1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,7.26
CHEMBL2397804,Clc1cccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Br)cc2)c1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,7.68
CHEMBL2397805,Clc1ccccc1CNc1ncnc2c1cnn2CC(Cl)c1ccc(Br)cc1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,8.3
CHEMBL2397806,Clc1ccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(Br)cc2)cc1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,6.85
CHEMBL241539,CSc1nc(NCc2cccc(F)c2)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,6.49
CHEMBL241540,CSc1nc(NCc2ccc(F)cc2)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,7.0
CHEMBL241749,CSc1nc(NCc2ccccc2)c2cnn(CC(Cl)c3ccc(Cl)cc3)c2n1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,6.96
CHEMBL241750,CSc1nc(NCc2ccccc2)c2cnn(CC(Cl)c3ccc(F)cc3)c2n1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,6.6
CHEMBL261827,Fc1ccc(C(Cl)Cn2ncc3c(NCc4cccc(F)c4)ncnc32)cc1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,7.0
CHEMBL270286,Fc1ccc(CNc2ncnc3c2cnn3CC(Cl)c2ccc(F)cc2)cc1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,6.7
CHEMBL270492,Fc1ccc(C(Cl)Cn2ncc3c(NCc4ccccc4F)ncnc32)cc1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,7.7
CHEMBL270958,Fc1ccccc1CNc1ncnc2c1cnn2CC(Cl)c1ccccc1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,6.14
CHEMBL273090,Fc1ccc(C(Cl)Cn2ncc3c(NCc4ccccc4Cl)ncnc32)cc1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,6.7
CHEMBL288280,CSc1nc(NCc2ccccc2)c2cnn(CC(Cl)c3ccccc3)c2n1,c1ccc(CCn2ncc3c(NCc4ccccc4)ncnc32)cc1,6.57
