chembl_id,smiles,scaffold,activity
CHEMBL3639847,COc1ccc2[nH]c(C(=O)Nc3ccc(Cn4nc(C)c(CC(=O)O)c4C)cc3)c(C)c2c1,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,10.0
CHEMBL3690164,CCCn1c(C(=O)Nc2ccc(Cn3nc(C)c(CC(=O)O)c3C)cc2)cc2ccc(F)cc21,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,10.0
CHEMBL3690165,CCn1c(C(=O)Nc2ccc(Cn3nc(C)c(CC(=O)O)c3C)cc2)cc2ccc(F)cc21,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,10.0
CHEMBL3690177,CCn1c(C(=O)Nc2ccc(Cn3nc(C)c(CC(=O)O)c3C)c(F)c2)cc2ccc(F)cc21,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,10.0
CHEMBL3690178,CCCn1c(C(=O)Nc2ccc(Cn3nc(C)c(CC(=O)O)c3C)c(F)c2)cc2ccc(F)cc21,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,10.0
CHEMBL3690191,CCCCn1c(C(=O)Nc2ccc(Cn3nc(C)c(CC(=O)O)c3C)c(F)c2)cc2cc(F)ccc21,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,10.0
CHEMBL3685840,Cc1nn(Cc2ccc(NC(=O)c3cc4ccccc4[nH]3)cc2)c(C)c1CC(=O)O,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.7
CHEMBL3685841,Cc1nn(Cc2ccc(NC(=O)c3cc4ccc(F)cc4[nH]3)cc2)c(C)c1CC(=O)O,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.7
CHEMBL3685842,Cc1nn(Cc2ccc(NC(=O)c3cc4cc(F)ccc4[nH]3)cc2)c(C)c1CC(=O)O,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.7
CHEMBL3690158,CCc1nn(Cc2ccc(NC(=O)c3cc4ccccc4n3CC)cc2)c(CC)c1CC(=O)O,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.7
CHEMBL3690161,CCc1nn(Cc2ccc(NC(=O)c3cc4ccc(F)cc4[nH]3)cc2)c(CC)c1CC(=O)O,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.7
CHEMBL3690167,CCn1c(C(=O)Nc2ccc(Cn3nc(C)c(CC(=O)O)c3C)c(F)c2)cc2ccccc21,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.7
CHEMBL3690168,CCn1c(C(=O)Nc2ccc(Cn3nc(C)c(CC(=O)O)c3C)c(F)c2)cc2cc(F)ccc21,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.7
CHEMBL3690189,CCCCn1c(C(=O)Nc2ccc(Cn3nc(C)c(CC(=O)O)c3C)c(F)c2)cc2ccccc21,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.7
CHEMBL3690190,CCCn1c(C(=O)Nc2ccc(Cn3nc(C)c(CC(=O)O)c3C)c(F)c2)cc2cc(F)ccc21,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.7
CHEMBL3690192,CCCn1c(C(=O)Nc2ccc(Cn3nc(C)c(CC(=O)O)c3C)c(F)c2)cc2ccccc21,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.7
CHEMBL3690156,CCc1nn(Cc2ccc(NC(=O)c3cc4ccccc4[nH]3)cc2)c(CC)c1CC(=O)O,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.52
CHEMBL3690157,CCc1nn(Cc2ccc(NC(=O)c3cc4ccccc4n3C)cc2)c(CC)c1CC(=O)O,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.52
CHEMBL3690159,CCc1nn(Cc2ccc(NC(=O)c3cc4cc(F)ccc4[nH]3)cc2)c(CC)c1CC(=O)O,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.52
CHEMBL3685846,CCn1c(C(=O)Nc2ccc(Cn3nc(C)c(CC(=O)O)c3C)cc2)cc2ccccc21,O=C(Nc1ccc(Cn2cccn2)cc1)c1cc2ccccc2[nH]1,9.4
