chembl_id,smiles,scaffold,activity
CHEMBL3770993,CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(N3CCCC3C(N)=O)cc1OCC2,c1n[nH]c(-c2cn3c(n2)-c2ccc(N4CCCC4)cc2OCC3)n1,10.52
CHEMBL2381382,CC(C)n1nc(N)nc1-c1nc2c(s1)CCOc1cc(-c3cnn(CCO)c3)ccc1-2,c1n[nH]c(-c2nc3c(s2)CCOc2cc(-c4cn[nH]c4)ccc2-3)n1,10.4
CHEMBL2381376,CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(-c3cnn(CCN)c3)ccc1-2,c1n[nH]c(-c2nc3c(s2)CCOc2cc(-c4cn[nH]c4)ccc2-3)n1,10.22
CHEMBL2381375,CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(-c3cnn(CS(C)(=O)=O)c3)ccc1-2,c1n[nH]c(-c2nc3c(s2)CCOc2cc(-c4cn[nH]c4)ccc2-3)n1,10.22
CHEMBL2381377,CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(-c3cnn(C(C)(C)C(N)=O)c3)ccc1-2,c1n[nH]c(-c2nc3c(s2)CCOc2cc(-c4cn[nH]c4)ccc2-3)n1,9.96
CHEMBL2381380,CC(C)n1nc(N)nc1-c1nc2c(s1)CCOc1cc(-c3cnn(CC(C)(C)O)c3)ccc1-2,c1n[nH]c(-c2nc3c(s2)CCOc2cc(-c4cn[nH]c4)ccc2-3)n1,9.89
CHEMBL2381379,CC(C)(O)Cn1cc(-c2ccc3c(c2)OCCc2sc(-c4ncnn4CC(F)(F)F)nc2-3)cn1,c1n[nH]c(-c2nc3c(s2)CCOc2cc(-c4cn[nH]c4)ccc2-3)n1,9.85
CHEMBL2381374,CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(-c3cnn(CC(C)(C)O)c3)ccc1-2,c1n[nH]c(-c2nc3c(s2)CCOc2cc(-c4cn[nH]c4)ccc2-3)n1,9.82
CHEMBL2381378,Cc1nc(-c2nc3c(s2)CCOc2cc(-c4cnn(CCO)c4)ccc2-3)n(C(C)C)n1,c1n[nH]c(-c2nc3c(s2)CCOc2cc(-c4cn[nH]c4)ccc2-3)n1,9.74
CHEMBL2381373,CC(C)n1ncnc1-c1nc2c(s1)CCOc1cc(-c3cnn(CCO)c3)ccc1-2,c1n[nH]c(-c2nc3c(s2)CCOc2cc(-c4cn[nH]c4)ccc2-3)n1,9.57
CHEMBL3770306,CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(N3CCC3C(N)=O)cc1OCC2,c1n[nH]c(-c2cn3c(n2)-c2ccc(N4CCC4)cc2OCC3)n1,10.0
CHEMBL3639799,CN(C)c1ccc(-c2ccc3ncc4c(c3n2)n(C2CCC(OCCO)CC2)c(=O)n4C)cn1,O=c1[nH]c2cnc3ccc(-c4cccnc4)nc3c2n1C1CCCCC1,9.99
CHEMBL2331658,COc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCC(OCCO)CC2)c(=O)n4C)cn1,O=c1[nH]c2cnc3ccc(-c4cccnc4)nc3c2n1C1CCCCC1,9.3
CHEMBL2331659,COc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCC(O)CC2)c(=O)n4C)cn1,O=c1[nH]c2cnc3ccc(-c4cccnc4)nc3c2n1C1CCCCC1,9.3
CHEMBL3681079,COc1ccc(-c2ccc3ncc4[nH]c(=O)n(C5CCC(O)CC5)c4c3n2)cn1,O=c1[nH]c2cnc3ccc(-c4cccnc4)nc3c2n1C1CCCCC1,9.29
CHEMBL3681078,COc1ccc(-c2ccc3ncc4[nH]c(=O)n(C5CCC(OCCO)CC5)c4c3n2)cn1,O=c1[nH]c2cnc3ccc(-c4cccnc4)nc3c2n1C1CCCCC1,9.19
CHEMBL3681110,Cc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCC(O)CC2)c(=O)n4C)cn1,O=c1[nH]c2cnc3ccc(-c4cccnc4)nc3c2n1C1CCCCC1,8.99
CHEMBL3681094,Cc1ccc(-c2ccc3ncc4c(c3n2)n(C2CCC(OCCO)CC2)c(=O)n4C)cn1,O=c1[nH]c2cnc3ccc(-c4cccnc4)nc3c2n1C1CCCCC1,8.77
CHEMBL2386970,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C5CN(CCO)C5)c4)cc2OCC3)n(C(C)C)n1,c1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cnn(C5CNC5)c4)cc2OCC3)n1,9.96
CHEMBL2386971,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C5CN(C(=O)C(C)O)C5)c4)cc2OCC3)n(C(C)C)n1,c1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cnn(C5CNC5)c4)cc2OCC3)n1,9.47
CHEMBL3681175,CC(O)C(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6[nH]ncc6c5)nc4c32)CC1,O=c1[nH]c2cnc3ccc(-c4cnc5[nH]ncc5c4)nc3c2n1C1CCNCC1,9.96
CHEMBL3681177,Cn1c(=O)n(C2CCN(C(=O)C(C)(C)O)CC2)c2c3nc(-c4cnc5[nH]ncc5c4)ccc3ncc21,O=c1[nH]c2cnc3ccc(-c4cnc5[nH]ncc5c4)nc3c2n1C1CCNCC1,9.94
CHEMBL3681176,COCC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6[nH]ncc6c5)nc4c32)CC1,O=c1[nH]c2cnc3ccc(-c4cnc5[nH]ncc5c4)nc3c2n1C1CCNCC1,9.78
CHEMBL2331668,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6[nH]ncc6c5)nc4c32)CC1,O=c1[nH]c2cnc3ccc(-c4cnc5[nH]ncc5c4)nc3c2n1C1CCNCC1,9.72
CHEMBL3681179,CN1CCC(n2c(=O)n(C)c3cnc4ccc(-c5cnc6[nH]ncc6c5)nc4c32)CC1,O=c1[nH]c2cnc3ccc(-c4cnc5[nH]ncc5c4)nc3c2n1C1CCNCC1,9.55
CHEMBL3681178,Cn1c(=O)n(C2CCN(C(=O)CO)CC2)c2c3nc(-c4cnc5[nH]ncc5c4)ccc3ncc21,O=c1[nH]c2cnc3ccc(-c4cnc5[nH]ncc5c4)nc3c2n1C1CCNCC1,9.49
CHEMBL2387079,CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(-c3cnn(CC(C)(C)O)c3)cc1OCC2,c1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cn[nH]c4)cc2OCC3)n1,9.85
CHEMBL2387086,CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(-c3cnn(CCO)c3)cc1OCC2,c1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cn[nH]c4)cc2OCC3)n1,9.77
CHEMBL2387082,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C)c4)cc2OCC3)n(C(C)C)n1,c1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cn[nH]c4)cc2OCC3)n1,9.54
CHEMBL2387080,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(C(C)(C)C(N)=O)c4)cc2OCC3)n(C(C)C)n1,c1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cn[nH]c4)cc2OCC3)n1,9.53
CHEMBL2387081,CC(C)n1ncnc1-c1cn2c(n1)-c1ccc(-c3cn[nH]c3)cc1OCC2,c1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cn[nH]c4)cc2OCC3)n1,9.51
CHEMBL2387083,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(CCO)c4)cc2OCC3)n(C(C)C)n1,c1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cn[nH]c4)cc2OCC3)n1,9.4
CHEMBL2387085,Cc1nc(-c2cn3c(n2)-c2ccc(-c4cnn(CCO)c4)cc2OCC3)n(C)n1,c1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cn[nH]c4)cc2OCC3)n1,8.55
CHEMBL2387084,Cc1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cnn(CCO)c4)cc2OCC3)n1,c1n[nH]c(-c2cn3c(n2)-c2ccc(-c4cn[nH]c4)cc2OCC3)n1,7.68
CHEMBL3681182,Cn1c(=O)n(C2CCC(O)CC2)c2c3nc(-c4ccc5[nH]ncc5c4)ccc3ncc21,O=c1[nH]c2cnc3ccc(-c4ccc5[nH]ncc5c4)nc3c2n1C1CCCCC1,9.84
CHEMBL2381381,CC(C)n1c(-c2nc3c(s2)CCOc2cc(-c4cnn(CC(C)(C)O)c4)ccc2-3)n[nH]c1=O,O=c1[nH]nc(-c2nc3c(s2)CCOc2cc(-c4cn[nH]c4)ccc2-3)[nH]1,9.74
CHEMBL3770325,CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(N(C)CC(N)=O)cc1OCC2,c1cc2c(cn1)-c1nc(-c3ncn[nH]3)cn1CCO2,9.7
CHEMBL3769966,CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(OCC(N)=O)cc1OCC2,c1cc2c(cn1)-c1nc(-c3ncn[nH]3)cn1CCO2,9.05
CHEMBL3770824,CC(Oc1cc2c(cn1)-c1nc(-c3ncnn3C(C)C)cn1CCO2)C(N)=O,c1cc2c(cn1)-c1nc(-c3ncn[nH]3)cn1CCO2,9.0
CHEMBL3770630,CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(N)cc1OCC2,c1cc2c(cn1)-c1nc(-c3ncn[nH]3)cn1CCO2,8.92
CHEMBL3769972,CC(C)n1ncnc1-c1cn2c(n1)-c1cnc(OC(C)(C)C(N)=O)cc1OCC2,c1cc2c(cn1)-c1nc(-c3ncn[nH]3)cn1CCO2,8.51
CHEMBL3770615,COc1cc2c(cn1)-c1nc(-c3ncnn3C(C)C)cn1CCO2,c1cc2c(cn1)-c1nc(-c3ncn[nH]3)cn1CCO2,8.44
CHEMBL3681165,CC(=O)N1CCC(n2c(=O)n(C)c3cnc4ccc(-c5ccc(N)nc5)nc4c32)CC1,O=c1[nH]c2cnc3ccc(-c4cccnc4)nc3c2n1C1CCNCC1,9.6
