chembl_id,smiles,scaffold,activity
CHEMBL2338742,COC12CCC3(CC1C(O)CC1CCCCC1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,c1cc2c3c(c1)OC1C4CCC5(CC4CCC4CCCCC4)C(C2)N(CC2CC2)CCC315,10.82
CHEMBL2338750,COC12CCC3(CC1C(C)(O)CC1CCCCC1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,c1cc2c3c(c1)OC1C4CCC5(CC4CCC4CCCCC4)C(C2)N(CC2CC2)CCC315,10.29
CHEMBL2338718,COC12CCC3(CC1C(O)CCc1ccccc1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,c1ccc(CCCC2CC34CCC2C2Oc5cccc6c5C23CCN(CC2CC2)C4C6)cc1,10.6
CHEMBL2338753,COC12CCC3(CC1C(C)(O)CCc1ccccc1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,c1ccc(CCCC2CC34CCC2C2Oc5cccc6c5C23CCN(CC2CC2)C4C6)cc1,10.19
CHEMBL1834411,COC12CCC3(CC1C(C)(O)CC(C)(C)c1ccccc1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,c1ccc(CCCC2CC34CCC2C2Oc5cccc6c5C23CCN(CC2CC2)C4C6)cc1,8.38
CHEMBL397035,O=C(Nc1ccccc1)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3,O=C(Nc1ccccc1)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3,10.34
CHEMBL570429,O=C(Nc1ccc(I)cc1)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3,O=C(Nc1ccccc1)Oc1ccc2c(c1)C13CCCCC1C(C2)N(CC1CC1)CC3,9.22
CHEMBL3919868,COC12CCC3(CC1CN=C(O)C(N)Cc1ccccc1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,C(CCc1ccccc1)=NCC1CC23CCC1C1Oc4cccc5c4C12CCN(CC1CC1)C3C5,10.22
CHEMBL3980864,COC12CCC3(CC1CN=C(O)C(N)Cc1ccc(O)cc1)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,C(CCc1ccccc1)=NCC1CC23CCC1C1Oc4cccc5c4C12CCN(CC1CC1)C3C5,9.89
CHEMBL3897967,COC12CCC3(CC1CN=C(O)C(Cc1ccccc1)N=C(C)O)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,C(CCc1ccccc1)=NCC1CC23CCC1C1Oc4cccc5c4C12CCN(CC1CC1)C3C5,9.8
CHEMBL2338714,COC12C=CC3(CC1C(C)(O)CCC(C)C)C1Cc4ccc(O)c5c4C3(CCN1CC1CC1)C2O5,C1=CC23CCC1C1Oc4cccc5c4C12CCN(CC1CC1)C3C5,10.09
CHEMBL3262362,CCC(O)(C1CC23C=CC1(OC)C1Oc4c(O)ccc5c4C12CCN(CC1CC1)C3C5)C(C)(C)C,C1=CC23CCC1C1Oc4cccc5c4C12CCN(CC1CC1)C3C5,9.12
CHEMBL3695677,CC(N)C(=O)N1CCC23CCN(CC4CC4)C(Cc4ccc(O)cc42)C3C1,c1ccc2c(c1)CC1C3CNCCC23CCN1CC1CC1,10.05
CHEMBL3695676,Oc1ccc2c(c1)C13CCNCC1C(C2)N(CC1CC1)CC3,c1ccc2c(c1)CC1C3CNCCC23CCN1CC1CC1,9.68
CHEMBL3695674,NC(=O)CN1CCC23CCN(CC4CC4)C(Cc4ccc(O)cc42)C3C1,c1ccc2c(c1)CC1C3CNCCC23CCN1CC1CC1,9.59
