chembl-id,activity,smiles
CHEMBL3354675,9.13,c1ccc2c(c1)nc(s2)C(=O)C(CCCNC(=N)N)NC(=O)C(Cc3ccc(cc3)O)NC(=O)C(CCC(=O)N)NC(=O)C(CCCNC(=N)N)N
CHEMBL3354683,8.99,c1ccc2c(c1)c(c[nH]2)CC(C(=O)NC(CS)C(=O)NC(Cc3ccc(cc3)O)C(=O)NC(CCCNC(=N)N)C(=O)c4nc5ccccc5s4)N
CHEMBL3354676,8.85,c1ccc(cc1)CC(C(=O)NC(CCCNC(=N)N)C(=O)c2nc3ccccc3s2)NC(=O)C(CCC(=O)N)NC(=O)C(CCCNC(=N)N)N
CHEMBL3354685,8.7,CC(C)CC(C(=O)NC(Cc1c[nH]c2c1cccc2)C(=O)NC(Cc3c[nH]c4c3cccc4)C(=O)NC(CCCNC(=N)N)C(=O)c5nc6ccccc6s5)N
CHEMBL3354686,8.61,CC(C)CC(C(=O)NC(CO)C(=O)NC(CCCNC(=N)N)C(=O)c1nc2ccccc2s1)NC(=O)C(CCCNC(=N)N)N
CHEMBL3354684,8.59,CC(C)C(C(=O)NC(CCCNC(=N)N)C(=O)c1nc2ccccc2s1)NC(=O)C(Cc3ccc(cc3)O)NC(=O)C(Cc4ccc(cc4)O)N
CHEMBL2086421,8.48,CC(C(=O)NC(CCCNC(=N)N)C(=O)c1nc2ccccc2s1)NC(=O)C(CCC(=O)N)NC(=O)C(CCCNC(=N)N)N
CHEMBL3354677,8.2,CC(C(=O)NC(CCCNC(=N)N)C(=O)c1nc2ccccc2s1)NC(=O)C(Cc3ccc(cc3)O)NC(=O)C(CCCNC(=N)N)N
CHEMBL3354674,8.11,c1ccc2c(c1)nc(s2)C(=O)C(CCCNC(=N)N)NC(=O)C3CCCN3C(=O)C(CCC(=O)N)NC(=O)C(CCCNC(=N)N)N
CHEMBL3354679,7.87,CC(C)CC(C(=O)NC(CCC(=O)N)C(=O)NC(C)C(=O)NC(CCCNC(=N)N)C(=O)c1nc2ccccc2s1)N
CHEMBL3354678,7.81,CC(C(=O)NC(CCCNC(=N)N)C(=O)c1nc2ccccc2s1)NC(=O)C(CCCNC(=N)N)NC(=O)C(CCCNC(=N)N)N
CHEMBL3354687,7.68,CC(C(=O)NC(CCCNC(=N)N)C(=O)c1nc2ccccc2s1)NC(=O)C(CCCCN)NC(=O)C(Cc3ccc(cc3)O)N
CHEMBL3354682,7.6,CC(C(=O)NC(CCCNC(=N)N)C(=O)c1nc2ccccc2s1)NC(=O)C(CC(=O)N)NC(=O)C(CCCCN)N
CHEMBL3352840,7.46,CC(C(=O)NC(CCCNC(=N)N)C(=O)c1nc2ccccc2s1)NC(=O)C(CCC(=O)N)NC(=O)C(CO)N
CHEMBL3354680,7.33,c1ccc2c(c1)c(c[nH]2)CC(C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)c3nc4ccccc4s3)N
CHEMBL3354681,7.32,c1ccc2c(c1)nc(s2)C(=O)C(CCCNC(=N)N)NC(=O)C3CCCN3C(=O)C(CC(=O)N)NC(=O)C(CCCNC(=N)N)N
CHEMBL3219101,7.14,CNC(=O)NCCC1CCN(CC1)C(=O)C(Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(c3)c4ccc(cc4Cl)Cl
CHEMBL3623788,7.09,CCC(C)C1C(=O)N2CCCC2C(=O)N3CCCC3C(=O)NC(C(=O)NC(CSSCC(C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N1)CO)CCCCN)C(C)O)NC(=O)C(CCCNC(=N)N)NC(=O)CN)C(=O)NC(Cc4cnc[nH]4)C(=O)O)CCCNC(=N)N
CHEMBL3623789,7.06,CC(C1C(=O)NC(C(=O)NC(C(=O)NC(C(=O)N2CCCC2C(=O)N3CCCC3C(=O)NC(C(=O)NC(CSSCC(C(=O)N1)NC(=O)C(CCCNC(=N)N)NC(=O)CN)C(=O)NC(Cc4cnc[nH]4)C(=O)O)CCCNC(=N)N)CC(=O)O)CO)CCCCN)O
CHEMBL3219079,6.96,c1cc(cc(c1)C(=N)N)CC(C(=O)N2CCC(CC2)CCN)NS(=O)(=O)c3cccc(c3)c4ccc(cc4Cl)Cl
CHEMBL1215083,6.75,c1ccc(cc1)CS(=O)(=O)NC(CCCNC(=N)N)C(=O)N2CCCC2C(=O)NCc3ccc(cc3)C(=N)N
CHEMBL3219100,6.74,CNC(=O)NCCC1CCN(CC1)C(=O)C(Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(c3)c4ccc(cc4OC)OC
CHEMBL3219081,6.68,c1cc(cc(c1)C(=N)N)CC(C(=O)N2CCC(CC2)CCN)NS(=O)(=O)c3cccc(c3)c4cccc(c4Cl)Cl
CHEMBL3219087,6.51,COc1ccc(c(c1)OC)c2cccc(c2)S(=O)(=O)NC(Cc3cccc(c3)C(=N)N)C(=O)N4CCC(CC4)CCN
CHEMBL3219078,6.46,CNC(=O)CCCC1CCN(CC1)C(=O)C(Cc2cccc(c2)C(=N)N)NS(=O)(=O)c3cccc(c3)c4ccc(cc4Cl)Cl
CHEMBL1215085,6.44,c1ccc(cc1)CS(=O)(=O)NC(CC2CCCCC2)C(=O)N3CCCC3C(=O)NCc4ccc(cc4)C(=N)N
